date,open,high,low,close,volume,adj_close
2023-01-03,130.28,130.90,124.17,125.07,112117500,124.70
2023-01-04,126.89,128.66,125.08,126.36,89113600,126.00
2023-01-05,127.13,127.77,124.76,125.02,80689100,124.65
2023-01-06,126.01,130.29,124.89,129.62,87338000,129.23
2023-01-09,130.47,133.41,129.89,130.15,70790800,129.76
2023-01-10,130.26,131.26,128.12,130.73,63696700,130.33
2023-01-11,131.25,133.51,130.46,133.49,69458600,133.08
2023-01-12,133.88,134.26,131.44,133.41,71379600,133.00
2023-01-13,132.03,134.92,131.66,134.76,57809700,134.34
2023-01-17,130.26,137.29,130.26,135.94,70937200,135.52
2023-01-18,136.82,138.61,135.03,135.21,65281100,134.79
2023-01-19,134.08,136.25,133.77,135.27,58290600,134.85
2023-01-20,135.28,138.02,134.22,137.87,80223700,137.44
2023-01-23,138.12,143.32,137.90,141.11,81769000,140.66
2023-01-24,140.30,143.16,140.30,142.53,66435100,142.07
2023-01-25,140.89,142.43,138.81,141.86,65799300,141.41
2023-01-26,143.17,144.25,141.90,143.96,54105100,143.50
2023-01-27,143.16,147.23,143.08,145.93,70555800,145.46
2023-01-30,144.96,145.55,142.85,143.00,64015300,142.54
2023-01-31,142.70,144.34,142.28,144.29,65786800,143.83